"Product ID","Classic ID","ID (6001-8000)","ID (10001-12000)","ID (12001-14000)","ID (14001-16000)","ID (16001-18000)","ID (18001-20000)","ID (20001-22000)","ID (22001-24000)","ID (24001-26000)"
"313,  10313,22313, 24313",313,,10313,,,,,,22313,24313
"314,  10314,22314, 24314",314,,10314,,,,,,22314,24314
"315,  10315,22315, 24315",315,,10315,,,,,,22315,24315
"316,  10316,22316, 24316",316,,10316,,,,,,22316,24316
"317,  10317,22317, 24317",317,,10317,,,,,,22317,24317
"25,12025,18025",25,,,12025,,,18025,,,
"318,12318,18318",318,,,12318,,,18318,,,
"319,12319,18319",319,,,12319,,,18319,,,
"320,12320,18320",320,,,12320,,,18320,,,
"321,12321,18321",321,,,12321,,,18321,,,
"322,12322,18322",322,,,12322,,,18322,,,
"323,12323,18323",323,,,12323,,,18323,,,
"324,12324,18324",324,,,12324,,,18324,,,
"325,12325,18325",325,,,12325,,,18325,,,
"326,12326,18326",326,,,12326,,,18326,,,
"327,12327,18327",327,,,12327,,,18327,,,
"328,12328,18328",328,,,12328,,,18328,,,
"329,12329,18329",329,,,12329,,,18329,,,
"330,12330,18330",330,,,12330,,,18330,,,
"1350, 7350",1350,7350,,,,,,,,
"1351, 7351",1351,7351,,,,,,,,
"1352, 7352",1352,7352,,,,,,,,
"1353, 7353",1353,7353,,,,,,,,
"1354, 7354",1354,7354,,,,,,,,
"1355, 7355",1355,7355,,,,,,,,
"1356, 7356",1356,7356,,,,,,,,
"1357, 7357",1357,7357,,,,,,,,
"1358, 7358",1358,7358,,,,,,,,
"1359, 7359",1359,7359,,,,,,,,
"1360, 7360",1360,7360,,,,,,,,
"1361, 7361",1361,7361,,,,,,,,
"1362, 7362",1362,7362,,,,,,,,
"1363, 7363",1363,7363,,,,,,,,
"26, 6001,  12026",26,6001,,12026,,,,,,
"331, 6331,12331",331,6331,,12331,,,,,,
"332, 6332,12332",332,6332,,12332,,,,,,
"333,6333,12333",333,6333,,12333,,,,,,
"27, 72, 10027, 12027, 14027, 16027, 18027, 20027, 22027, 24027",27,72,10027,12027,14027,16027,18027,20027,22027,24027
"334, 6334, 10334,16334,22334, 24334",334,6334,10334,,,,,,22334,24334
"335, 6335, 10335,  14335, 16335, 18335, 20335, 22335, 24335",335,6335,10335,,14335,16335,18335,20335,22335,24335
"336, 6336, 10336,  14336, 16336, 18336, 20336, 22336, 24336",336,6336,10336,,14336,16336,18336,20336,22336,24336
"337, 6337, 10337,16337, 18337, 20337, 22337, 24337, 1129, 7129, 11129,  15129, 17129, 19129, 21129, 23129, 25129, 1284, 7284,15284, 17284, 19284,  23284, 25284,  ",337,6337,10337,,,16337,18337,20337,22337,24337
"338, 6338, 10338,  14338, 16338, 18338, 20338, 22338, 24338",338,6338,10338,,14338,16338,18338,20338,22338,24338
"339, 6339, 10339, 12339, 14339, 16339, 18339, 20339, 22339, 24339, 1119, 7119, 11119,  15119,  19119,  23119, 25119",339,6339,10339,12339,14339,16339,18339,20339,22339,24339
"340, 6340,  12340,  16340, 18340, 20340, 22340, 24340, 1043,13043,  17043, 19043, 21043",340,6340,,12340,,16340,18340,20340,22340,24340
"341, 6341, 10341, 12341, 14341, 16341, 18341, 20341, 22341, 24341",341,6341,10341,12341,14341,16341,18341,20341,22341,24341
"342, 6342, 10342,16342,22342, 24342",342,6342,10342,,,16342,,,22342,24342
"1364, 7364",1364,7364,,,,,,,,
"1365, 7365",1365,7365,,,,,,,,
"1366, 7366",1366,7366,,,,,,,,
"1367, 7367",1367,7367,,,,,,,,
"1368, 7368",1368,7368,,,,,,,,
"1369, 7369",1369,7369,,,,,,,,
"1370, 7370",1370,7370,,,,,,,,
"1371, 7371",1371,7371,,,,,,,,
"1372, 7372",1372,7372,,,,,,,,
"1373, 7373",1373,7373,,,,,,,,
"1374, 7374",1374,7374,,,,,,,,
"1375, 7375",1375,7375,,,,,,,,
"1376, 7376",1376,7376,,,,,,,,
"1377, 7377",1377,7377,,,,,,,,
"1378, 7378",1378,7378,,,,,,,,
"1379, 7379",1379,7379,,,,,,,,
"1380, 7380",1380,7380,,,,,,,,
"1381, 7381",1381,7381,,,,,,,,
"1382, 7382",1382,7382,,,,,,,,
"1383, 7383",1383,7383,,,,,,,,
"1384, 7384",1384,7384,,,,,,,,
"1385, 7385",1385,7385,,,,,,,,
"1386, 7386",1386,7386,,,,,,,,
"1387, 7387",1387,7387,,,,,,,,
"1388, 7388",1388,7388,,,,,,,,
"1389, 7389",1389,7389,,,,,,,,
"1390, 7390",1390,7390,,,,,,,,
"1391, 7391",1391,7391,,,,,,,,
"1392, 7392",1392,7392,,,,,,,,
"1393, 7393",1393,7393,,,,,,,,
"1394, 7394",1394,7394,,,,,,,,
"1395, 7395",1395,7395,,,,,,,,
"1396, 7396",1396,7396,,,,,,,,
"1397, 7397",1397,7397,,,,,,,,
"1398, 7398",1398,7398,,,,,,,,
"1399, 7399",1399,7399,,,,,,,,
"1400, 7400",1400,7400,,,,,,,,
"1401, 7401",1401,7401,,,,,,,,
"1402, 7402",1402,7402,,,,,,,,
"1403, 7403",1403,7403,,,,,,,,
"1404, 7404",1404,7404,,,,,,,,
"1405, 7405",1405,7405,,,,,,,,
"1406, 7406",1406,7406,,,,,,,,
"1407, 7407",1407,7407,,,,,,,,
"1408, 7408",1408,7408,,,,,,,,
"1409, 7409",1409,7409,,,,,,,,
"1410, 7410",1410,7410,,,,,,,,
"1411, 7411",1411,7411,,,,,,,,
"1412, 7412",1412,7412,,,,,,,,
"1413, 7413",1413,7413,,,,,,,,
"1414, 7414",1414,7414,,,,,,,,
"1415, 7415",1415,7415,,,,,,,,
"1416, 7416",1416,7416,,,,,,,,
"1417, 7417",1417,7417,,,,,,,,
"1418, 7418",1418,7418,,,,,,,,
"1419, 7419",1419,7419,,,,,,,,
"1420, 7420",1420,7420,,,,,,,,
"1421, 7421",1421,7421,,,,,,,,
"1422, 7422",1422,7422,,,,,,,,
"1423, 7423",1423,7423,,,,,,,,
"1424, 7424",1424,7424,,,,,,,,
"1425, 7425",1425,7425,,,,,,,,
"1426, 7426",1426,7426,,,,,,,,
"1427, 7427",1427,7427,,,,,,,,
"1428, 7428",1428,7428,,,,,,,,
"1429, 7429",1429,7429,,,,,,,,
"1430, 7430",1430,7430,,,,,,,,
"1431, 7431",1431,7431,,,,,,,,
"1432, 7432",1432,7432,,,,,,,,
"1433, 7433",1433,7433,,,,,,,,
"1434, 7434",1434,7434,,,,,,,,
"1435, 7435",1435,7435,,,,,,,,
"1436, 7436",1436,7436,,,,,,,,
"1437, 7437",1437,7437,,,,,,,,
"1438, 7438",1438,7438,,,,,,,,
"1439, 7439",1439,7439,,,,,,,,
"1440, 7440",1440,7440,,,,,,,,
"1441, 7441",1441,7441,,,,,,,,
"1442, 7442",1442,7442,,,,,,,,
"1443, 7443",1443,7443,,,,,,,,
"1444, 7444",1444,7444,,,,,,,,
"1445, 7445",1445,7445,,,,,,,,
"1446, 7446",1446,7446,,,,,,,,
"1447, 7447",1447,7447,,,,,,,,
"1448, 7448",1448,7448,,,,,,,,
